Type,Name,DPI3,DPI4,DPI5
Functional,Inflammation of joint,0.751,1.72,1.409
Functional,Transport of amine,1.505,1.717,1.505
Functional,Concentration of hormone,1.528,1.714,1.753
Functional,Contraction of artery,,1.709,0.784
Functional,Binding of leukocytes,1.101,1.696,1.84
Functional,Synthesis of acylglycerol,0.788,1.696,1.49
Functional,Musculoskeletal lesion,0.437,1.693,1.38
Functional,Concentration of lipid,0.873,1.689,1.084
Functional,Influx of inorganic cation,1.243,1.678,2.255
Upstream,NLRP3,,1.671,
Canonical,Neuroinflammation Signaling Pathway,0.816,1.667,1.633
Functional,Hyperlipidemia,1.25,1.666,1.681
Functional,Uptake of bacteria,1,1.664,1.664
Upstream,CASR,,1.664,
Upstream,KAT6A,,1.664,
Upstream,FGF2,,1.66,
Functional,Binding of tumor cell lines,1.162,1.651,1.627
Upstream,PKC,,1.633,1
Upstream,PIAS1,,1.633,
Upstream,DIO2,,1.633,
Functional,Steroid metabolism,1.537,1.632,1.483
Upstream,IL1,0.558,1.63,1.333
Upstream,PF4,1.987,1.6,1.363
Functional,Quantity of phagocytes,,1.596,2.028
Functional,Systemic autoimmune syndrome,,1.596,1.103
Upstream,BMP2,,1.59,
Functional,Transport of metal ion,2.01,1.586,1.878
Upstream,SOX4,,1.585,
Functional,Survival of organism,2.09,1.576,1.063
Upstream,LEPR,1.934,1.574,0.536
Functional,Cholesterol transport,1.633,1.556,1.462
Functional,Flux of Ca2+,1.099,1.547,2.103
Functional,Transport of monovalent inorganic cation,1.741,1.539,1.741
Functional,Transport of Na+,1.214,1.536,1.214
Upstream,LCN2,,1.536,
Upstream,POU2AF1,1.452,1.534,1.452
Functional,Infection by DNA virus,1.082,1.531,0.713
Functional,Function of kidney,1.528,1.528,1.528
Functional,Aortic occlusive disease,1,1.527,1.728
Functional,Aortic atherosclerosis,1,1.527,1.728
Functional,Accumulation of cyclic AMP,0.524,1.527,1.104
Upstream,NR1H3,0.688,1.519,1.007
Upstream,TLR4,1.841,1.51,2.063
Upstream,SND1,1.134,1.508,0.816
Upstream,ERG,,1.508,
Functional,Onset of experimental autoimmune encephalomyelitis,,1.506,1.154
Upstream,CRH,,1.493,
Functional,Relaxation of blood vessel,,1.478,
Functional,Development of urinary tract,2.035,1.466,2.035
Functional,Formation of kidney,2.035,1.466,2.035
Upstream,ONECUT1,,1.466,
Functional,Binding of lipopolysaccharide,1.94,1.459,1.94
Upstream,growth hormone,1.003,1.456,1.662
Functional,Catabolism of acylglycerol,1.455,1.455,1.455
Functional,Catabolism of triacylglycerol,1.455,1.455,1.455
Upstream,HDAC5,,1.455,0.849
Functional,Concentration of choline-phospholipid,0.889,1.453,0.889
Functional,Disorder of lipid metabolism,0.932,1.451,1.36
Functional,Abnormal metabolism,0.932,1.451,1.36
Upstream,SIRT6,0.339,1.446,1
Upstream,GATA6,1.055,1.432,1.055
Upstream,NGF,,1.431,2.599
Functional,Infarction,0.984,1.426,1.549
Functional,Formation of reactive oxygen species,,1.426,0.719
Canonical,NAFLD Signaling Pathway,0.447,1.414,1.134
Functional,Infiltration by neutrophils,,1.409,1.284
Functional,Neurotransmission,,1.407,
Upstream,pro-inflammatory cytokine,,1.4,1.091
Functional,Hemostasis,1.022,1.398,1.399
Upstream,NEUROD1,,1.398,
Functional,Dysmyelination,,1.397,
Functional,Concentration of D-glucose,0.991,1.396,1.057
Upstream,PTH1R,1.214,1.38,
Functional,Secretion of cholesterol,1.378,1.378,1.378
Functional,Quantity of retinoid,1.009,1.377,1.009
Upstream,CX3CL1,2.236,1.37,1.673
Upstream,SOX2,,1.369,
Upstream,USF1,1.089,1.368,1.089
Functional,Activation of microglia,0.365,1.36,1.079
Upstream,CDX2,0.889,1.348,1.362
Upstream,ABCA1,1.015,1.346,1.015
Functional,Infection by RNA virus,0.552,1.346,0.489
Upstream,FDFT1,2,1.342,2
Upstream,AIRE,1,1.342,1
Upstream,PIK3CG,,1.342,
Upstream,FGF21,1.338,1.338,1.609
Functional,Skin lesion,,1.293,0.24
Canonical,Acute Phase Response Signaling,0.832,1.291,1.069
Functional,Myocardial infarction,1.4,1.29,1.29
Upstream,ADCYAP1,0.478,1.29,
Functional,Metabolism of sterol,0.728,1.289,1.091
Functional,Excretion of lipid,1.565,1.286,0.99
Upstream,FGF19,0.707,1.285,0.707
Functional,Progressive neurological disorder,,1.278,1.278
Upstream,SGPL1,1.446,1.276,1.706
Functional,Relaxation of artery,1.241,1.273,0.451
Functional,Synthesis of triacylglycerol,0.128,1.27,1.034
Functional,Quantity of monosaccharide,0.806,1.267,0.895
Upstream,PEX5,0.816,1.265,1
Functional,Demyelination,,1.261,
Upstream,PTF1A,0.958,1.253,
Functional,Synthesis of terpenoid,1.38,1.251,0.948
Functional,Secretion of triacylglycerol,1.362,1.25,1.25
Upstream,MECP2,0.6,1.25,
Functional,Neoplasia of cells,0.88,1.246,1.7
Functional,Quantity of polyunsaturated fatty acids,,1.244,
Upstream,RARB,0.426,1.237,0.113
Upstream,Asgr1,,1.236,
Functional,Transport of metal,0.989,1.233,1.237
Functional,Acute lung injury,1.394,1.224,1.636
Functional,Acute respiratory disorder,1.394,1.224,1.636
Functional,Binding of endothelial cells,1.301,1.224,0.951
Upstream,JNK,,1.224,1.756
Functional,Cellular infiltration by myeloid cells,0.217,1.215,1.239
Functional,Hemolysis,,1.206,
Functional,Coagulation of plasma,0.842,1.203,0.842
Functional,Lung injury,1.07,1.202,1.066
Functional,Discomfort,,1.195,
Upstream,POMC,1.174,1.192,1.384
Upstream,ARNT,,1.192,
Upstream,KLRK1,,1.192,
Upstream,PDX1,1.264,1.191,
Upstream,S100A8,1.89,1.188,1.484
Upstream,MAPK,,1.172,
Functional,Adhesion of immune cells,0.843,1.17,1.294
Functional,Concentration of phosphatidylcholine,0.491,1.167,0.491
Functional,Non-traumatic arthropathy,,1.165,
Functional,Damage of lung,1.012,1.159,1.019
Functional,Catabolism of carbohydrate,,1.154,
Upstream,WNT4,,1.154,
Upstream,ELAVL1,,1.152,2.359
Upstream,TNF (family),-1,1.151,0.997
Functional,Hematopoietic neoplasm,,1.151,
Upstream,RELA,0.209,1.14,0.828
Functional,Occlusion of artery,-0.365,1.136,0.358
Upstream,EHMT2,,1.134,1.342
Upstream,DSCAML1,,1.134,0
Upstream,DSCAM,,1.134,
Functional,Migration of eosinophils,1.96,1.132,1.132
Upstream,STK3,,1.131,
Upstream,TET3,,1.118,
Functional,Quantity of superoxide,0.592,1.099,0.978
Upstream,NR1H2,0.539,1.099,0.866
Functional,Lymphohematopoietic neoplasia,,1.098,
Upstream,SMPD1,,1.095,0.655
Functional,Occlusion of blood vessel,-0.421,1.093,0.308
Upstream,PPARA,1.184,1.086,0.646
Upstream,NR4A1,0.267,1.075,-0.162
Upstream,BMP6,,1.074,
Upstream,FOXA2,0.354,1.07,0.158
Functional,Cholestasis,,1.067,
Functional,Ischemia of brain,,1.067,
Upstream,FOXA3,,1.067,
Functional,Transport of anion,0.684,1.046,0.684
Functional,Synthesis of sterol,0.485,1.044,0.798
Functional,Chronic inflammatory disorder,,1.016,
Upstream,AKT1,,1.015,1.015
Functional,Binding of professional phagocytic cells,0.649,1.007,1.007
Functional,Quantity of steroid,0.336,1.007,0.752
Functional,Concentration of eicosanoid,,1.001,
Canonical,Complement System,0,1,1.633
Upstream,SMAD2,,1,1.091
Upstream,GRB2,,1,
Upstream,PLAT,,1,
Upstream,DHX9,,1,
Upstream,PTGER3,,1,
Upstream,AVP,,0.996,
Functional,Vaso-occlusion,-0.579,0.989,0.203
Functional,Binding of lipid,1.988,0.977,1.304
Functional,Cellular infiltration by granulocytes,,0.97,0.988
Functional,Quantity of monoamines,0.566,0.961,1.105
Functional,Concentration of retinol,,0.958,
Upstream,MCOLN1,,0.956,
Upstream,NR1I3,0.522,0.954,0.522
Functional,Binding of blood cells,0.39,0.948,1.033
Functional,Concentration of fatty acid,0.679,0.931,0.559
Functional,Concentration of sterol,0.03,0.93,0.647
Upstream,JUNB,,0.927,0.577
Upstream,MTOR,,0.924,0.213
Functional,Cerebrovascular dysfunction,0.442,0.921,1
Functional,Neuromuscular disease,,0.921,1.941
Upstream,PKA,0,0.914,0.256
Functional,Quantity of blood cells,,0.914,1.57
Functional,Cellular infiltration by leukocytes,0.413,0.91,1.486
Upstream,BICD2,,0.908,0.908
Functional,Concentration of cholesterol,0.129,0.9,0.599
Upstream,BRCA1,0.948,0.894,0.59
Functional,Damage of kidney,0.177,0.873,1.15
Functional,Atherosclerosis,-0.524,0.871,0.057
Upstream,METTL3,0.135,0.866,-0.042
Upstream,HDAC,2,0.862,
Functional,Peripheral vascular disease,0.105,0.857,0.67
Functional,Aggregation of cells,0.343,0.855,0.298
Upstream,HTT,0.2,0.849,0.2
Upstream,BMP,,0.849,
Upstream,ARID4B,,0.849,
Functional,Viral Infection,-0.346,0.846,-0.988
Upstream,insulin,-1.014,0.845,-0.638
Functional,Secretion of steroid,2.032,0.837,1.24
Upstream,RICTOR,0.564,0.836,0.564
Upstream,PROX1,,0.831,
Upstream,P2RY2,0.422,0.83,0.83
Functional,Diabetes mellitus,1,0.822,0.447
Upstream,IL6ST,1.342,0.816,1.342
Upstream,AR,1.466,0.806,0.979
Functional,Immune mediated inflammatory disease,-0.251,0.795,-0.529
Functional,Generation of superoxide,,0.785,0.052
Functional,Blood clot,0.277,0.782,0.899
Functional,Quantity of intermediate filaments,0.781,0.781,0.781
Functional,Proliferation of epithelial cells,-0.105,0.779,0.21
Functional,Quantity of myeloid cells,,0.776,1.744
Upstream,NR2F2,,0.776,0.339
Functional,Excretion of sterol,1.115,0.771,0.771
Functional,Cellular infiltration,0.218,0.77,1.314
Functional,Injury of nervous system,,0.767,
Functional,Vasodilation of heart,,0.762,
Upstream,FGFR2,0.728,0.759,0.366
Upstream,FABP1,1.109,0.748,0.748
Functional,Synthesis of steroid,0.804,0.739,0.385
Upstream,CD274,0.734,0.734,0.734
Upstream,CDX1,0.391,0.728,1.067
Upstream,ARL6IP1,,0.728,0.277
Functional,Metabolism of cholesterol,0.391,0.726,0.391
Functional,Synthesis of cholesterol,0.391,0.726,
Functional,Mass of organism,0.799,0.724,0.819
Functional,Esterification of lipid,1.131,0.713,1.082
Functional,Transmembrane transport of ion,0,0.707,
Upstream,C1QA,,0.702,1.05
Functional,Conversion of lipid,0.724,0.701,0.721
Functional,Formation of superoxide,0.218,0.692,0.218
Upstream,TARDBP,,0.692,0.152
Upstream,NFE2L2,-0.277,0.688,0.101
Functional,Cancer of cells,0.701,0.684,1.721
Functional,Transport of inorganic anion,0.388,0.684,0.388
Functional,Quantity of anion,-0.616,0.683,-0.336
Functional,Opsonization,0.218,0.68,0.411
Functional,Damage of urinary system,-0.041,0.68,0.946
Functional,Systolic pressure,,0.671,
Upstream,PPARG,1.434,0.663,1.18
Upstream,SATB2,,0.651,
Functional,Interaction of blood platelets,0.693,0.649,0.649
Upstream,TRH,,0.632,
Functional,Weight gain,-0.14,0.625,0.464
Functional,Hematologic cancer of cells,,0.614,
Functional,Binding of myeloid cells,0.239,0.605,0.605
Functional,Nervous system neoplasm,,0.6,
Functional,Thrombus,0.277,0.596,0.899
Upstream,LPL,,0.577,1.067
Functional,Myocardial dysfunction,1.115,0.575,1.947
Functional,Hematological or lymphatic system tumor,0.411,0.569,0.581
Upstream,PTPN1,,0.555,0.152
Functional,Transport of K+,,0.555,
Upstream,GIP,,0.555,
Functional,Quantity of ldl cholesterol in blood,0.099,0.554,0.099
Functional,Quantity of catecholamine,,0.553,
Upstream,IL10RA,1.508,0.535,0.832
Upstream,AGER,,0.529,-0.762
Upstream,EOMES,,0.522,
Upstream,MAT1A,0.512,0.512,0.512
Upstream,NCOR2,0.816,0.493,-0.186
Functional,Injury of central nervous system,,0.483,
Functional,Brain damage,,0.483,
Functional,Disease of retina,,0.481,-0.115
Upstream,PRDM1,0.397,0.453,0.372
Functional,Quantity of reactive oxygen species,-0.068,0.448,0.78
Upstream,MED13,,0.447,0
Functional,Central nervous system solid tumor,,0.447,
Upstream,RTN4,,0.447,
Upstream,FGFR4,,0.447,
Functional,Quantity of neurotransmitter,-0.076,0.445,0.345
Upstream,RETN,,0.44,1.091
Functional,Quantity of amino acids,-0.153,0.439,-0.047
Functional,Quantity of protein in blood,1.341,0.428,1.109
Functional,Injury of kidney,0.157,0.424,0.768
Functional,Accumulation of sterol,,0.421,
Upstream,TET2,-0.788,0.409,0.216
Functional,Pelvic tumor,0.254,0.406,1.06
Upstream,MYRF,,0.398,-0.585
Functional,Neoplasia of blood cells,,0.396,0.676
Functional,Blood pressure,1.241,0.395,1.138
Upstream,CLOCK,,0.378,0.816
Functional,Insulin resistance,,0.376,0.7
Functional,Reverse cholesterol transport,0.372,0.372,0.372
Functional,Excretion of bile acid,0.9,0.343,0.343
Upstream,TRIM28,,0.342,
Canonical,Bone Mineralization Signaling Pathway,0.378,0.333,0.816
Upstream,BMP10,0,0.333,0.378
Functional,Male genital neoplasm,,0.327,
Functional,Lymphocytic cancer,,0.318,0.991
Functional,Malignant lymphocytic neoplasm,,0.318,0.991
Functional,Neoplasia of leukocytes,,0.318,
Functional,Tumorigenesis of lymphocytes,,0.318,
Upstream,GDNF,,0.313,
Upstream,MAPK8,-0.148,0.311,0.329
Functional,Bradycardia,,0.309,1.029
Functional,Quantity of vitamin,0.712,0.305,0.712
Functional,Oxidation of lipid,0.777,0.302,0.561
Upstream,SLC13A1,0.333,0.302,0
Upstream,OLR1,,0.301,
Functional,Lymphoid cancer,,0.298,0.881
Functional,Proliferation of liver cells,-0.626,0.29,0.101
Functional,Obesity,0.442,0.288,0.042
Functional,Binding of HMVEC-L cells,,0.283,
Functional,Binding of cell surface,0.64,0.282,0.588
Upstream,CXCR3,,0.271,
Functional,Glucose tolerance,,0.267,
Upstream,EIF2AK4,,0.246,
Upstream,ATG5,,0.243,
Functional,Hematologic cancer,,0.241,0.751
Functional,Damage of central nervous system,,0.235,
Functional,Lymphohematopoietic cancer,0.588,0.228,0.693
Functional,Ventricular dysfunction,,0.218,1.684
Functional,Aortic arch atheroma,,0.218,
Upstream,AGTR1,,0.218,
Functional,Damage of nervous system,,0.215,
Functional,Accumulation of steroid,-0.456,0.214,-0.137
Functional,Metabolism of hormone,0.782,0.199,-0.031
Functional,Cognitive impairment,,0.194,
Functional,Quantity of Na+,-0.768,0.176,-0.714
Upstream,USP22,-0.277,0.174,-0.6
Functional,Myeloid or lymphoid neoplasm,,0.165,0.389
Functional,Secretion of catecholamine,,0.16,
Functional,Inflammation of muscle,,0.152,
Upstream,BACE1,,0.152,
Upstream,SUMO2,,0.152,
Functional,Long-term potentiation,,0.134,
Upstream,DICER1,,0.126,
Functional,Hypertriglyceridemia,0.411,0.12,0.742
Functional,Noncardiac thoracic lesion,0.246,0.087,0.338
Functional,Aggregation of blood cells,-0.176,0.062,-0.196
Functional,Lymphoproliferative disorder,,0.047,0.588
Functional,Lung lesion,0.191,0.041,0.285
Upstream,SNCA,-0.397,0.036,0.043
Functional,Genital tumor,0.254,0.024,1.06
Upstream,PDLIM2,1,0,1
Upstream,HSP70,0.447,0,0.447
Canonical,WNK Renal Signaling Pathway,0.447,0,0.447
Upstream,CDCA8,0.378,0,0.378
Upstream,ZBTB20,0.378,0,0
Canonical,PXR/RXR Activation,0.378,0,0
Upstream,NGEF,-0.378,0,-0.378
Upstream,JUND,,0,0.391
Functional,Homeostasis of metal ion,,0,0
Functional,Response of vascular smooth muscle cells,,0,0
Functional,Homeostasis of divalent cations,,0,0
Upstream,POR,,0,0
Upstream,HVCN1,,0,0
Functional,Epilepsy,,0,
Upstream,S1PR4,,0,
Upstream,RANBP3L,,0,
Upstream,OXT,,0,
Canonical,VDR/RXR Activation,,0,
Functional,Albuminuria,,-0.022,1.46
Functional,Concentration of triacylglycerol,0.056,-0.027,0.046
Functional,Concentration of acylglycerol,,-0.044,
Functional,Apoptosis of renal tubule,,-0.047,0.822
Upstream,SQSTM1,,-0.056,-0.651
Upstream,HFE,0.223,-0.061,-0.35
Functional,Nephromegaly,1.207,-0.092,0.47
Upstream,SERPINE1,-1.067,-0.128,-1.387
Upstream,mir-29 (includes others),,-0.128,
Functional,Size of lesion,0.014,-0.138,0.032
Functional,Hypertrophy of kidney,,-0.138,0.431
Functional,Lymphoreticular neoplasm,,-0.141,0.249
Upstream,CRHR1,,-0.152,-0.152
Functional,Endocrine gland tumor,,-0.152,
Functional,Thoracic carcinoma,,-0.156,
Functional,Lung carcinoma,,-0.156,
Functional,Aggregation of blood platelets,-0.176,-0.163,-0.494
Functional,Acute disease,-0.457,-0.18,-0.074
Functional,Abnormality of heart ventricle,,-0.187,1.568
Upstream,POU4F1,,-0.2,
Upstream,MST1,,-0.2,
Upstream,NPY,0.243,-0.218,0.243
Functional,Breast or ovarian neoplasm,-0.007,-0.218,-0.34
Functional,Anxiety,,-0.221,
Functional,Mammary tumor,,-0.235,
Functional,Area of atherosclerotic lesion,-0.87,-0.241,-0.87
Upstream,BMPER,,-0.246,
Functional,Lymphatic system tumor,,-0.268,0.411
Functional,Internalization of lipid,,-0.277,0.152
Upstream,TGFBR1,,-0.277,0.128
Functional,Degenerative brain disorder,,-0.277,
Upstream,FYN,,-0.277,
Functional,Proteinuria,,-0.293,1.24
Canonical,LPS/IL-1 Mediated Inhibition of RXR Function,-1,-0.302,-0.333
Functional,Non rhabdoid tumor,-0.999,-0.303,-0.173
Upstream,PLCG2,,-0.325,-0.988
Functional,Malignant solid tumor,-0.584,-0.345,-0.313
Functional,Deposition of lipid,-0.6,-0.355,-0.355
Upstream,VDR,-0.904,-0.357,-1.264
Upstream,IL4,-0.73,-0.358,-0.67
Functional,Solid tumor,,-0.359,
Functional,Interaction of protein,-0.361,-0.361,-0.361
Upstream,SREBF2,-1.109,-0.368,-0.956
Upstream,INSR,-1.508,-0.368,-1.508
Upstream,MAFB,-2.236,-0.368,-2
Upstream,collagen type i (family),-2,-0.369,0.371
Functional,Left ventricular dysfunction,0.678,-0.37,0.951
Functional,Opsonization of cells,-1.131,-0.374,-0.374
Upstream,BSG,-1,-0.378,-1
Upstream,SUMO3,,-0.391,-1.067
Functional,Locomotion,,-0.391,
Upstream,FTO,,-0.396,
Upstream,LRP5,,-0.412,
Functional,Cardiomyopathy,0.196,-0.431,0.976
Upstream,DIO3,-0.707,-0.434,-1.414
Functional,Connective or soft tissue tumor,,-0.44,0.152
Upstream,NEDD9,0,-0.447,0
Upstream,IDH1,-1,-0.447,-1
Upstream,NAT10,,-0.447,
Upstream,FBXL6,,-0.447,
Functional,Shock response,-0.765,-0.46,-0.46
Functional,Left ventricular heart disease,0.68,-0.466,1.223
Functional,Abnormality of left ventricle,0.68,-0.466,1.223
Functional,Atherosclerotic lesion,-1.286,-0.469,-1.215
Functional,Sclerotic lesion,,-0.469,-1.215
Upstream,HNRNPU,,-0.478,-1.387
Functional,Genitourinary tumor,,-0.499,0.249
Functional,Neurological signs,-0.378,-0.508,-0.213
Functional,Necrosis of kidney,,-0.524,0.05
Functional,Phosphaturia,-0.192,-0.537,-0.192
Functional,Necrosis,0.041,-0.542,-0.77
Upstream,SCARB1,-0.152,-0.555,-0.152
Functional,Mineral deficiency,-0.555,-0.555,-0.555
Functional,Undernutrition,-0.555,-0.555,-0.555
Upstream,GAL3ST1,,-0.555,
Upstream,PROC,,-0.555,
Upstream,LDLR,-2.159,-0.557,-2.159
Functional,Absorption of lipid,-0.304,-0.562,-0.304
Upstream,ACE2,,-0.57,
Functional,Quantity of chloride,-1.446,-0.61,-1
Functional,Homeostasis of chloride,-1.446,-0.61,
Upstream,DUSP1,-0.563,-0.625,-0.053
Functional,Infection by Flaviviridae,,-0.631,
Upstream,LDB1,,-0.632,
Functional,Absorption of cholesterol,-0.388,-0.66,-0.388
Functional,Homeostasis of phosphate,-0.677,-0.677,-0.677
Functional,Area of lesion,,-0.683,-1.32
Upstream,MACROH2A1,,-0.686,
Upstream,UCP1,,-0.707,-0.816
Functional,Damage of digestive system,-0.551,-0.727,-0.471
Upstream,IRF8,,-0.728,-0.728
Functional,Atherogenesis,-0.579,-0.742,-0.742
Functional,Homeostasis of ion,-0.87,-0.754,-1.036
Functional,Formation of amyloid fibrils,-0.905,-0.762,
Functional,Necrosis of renal tubule,-0.509,-0.764,0.176
Upstream,GATA2,,-0.777,-0.64
Functional,Septic shock,,-0.813,-0.813
Functional,Abnormal morphology of liver,-0.447,-0.816,-0.447
Upstream,FOXP1,,-0.816,-0.794
Upstream,COL18A1,,-0.816,-1
Upstream,ZMPSTE24,-0.832,-0.832,-0.832
Functional,Apoptosis of kidney,,-0.854,-0.266
Upstream,HAVCR1,,-0.863,
Upstream,IRS2,-0.962,-0.87,-1.229
Functional,Homeostasis of anion,-1.578,-0.87,-1.207
Functional,Edema,-0.138,-0.879,0.357
Upstream,PTGER4,-0.954,-0.895,-0.954
Functional,Abnormality of renal cortex,0,-0.896,-0.447
Upstream,NCOR1,-0.711,-0.898,-1.32
Functional,Uptake of cholesterol,-0.66,-0.911,-0.66
Functional,Abnormal morphology of nephron,,-0.928,0.447
Functional,Arterial lesion,-1.516,-0.956,-1.635
Upstream,TEK,,-0.956,-1.633
Upstream,NR1I2,-0.816,-0.959,-0.816
Functional,Hepatic injury,,-0.987,-0.885
Upstream,MC1R,-1,-1,-1
Upstream,DNMT1,,-1,
Upstream,DMP1,,-1,
Functional,Liver Damage,-0.594,-1.028,-0.79
Functional,Size of atherosclerotic lesion,-1.731,-1.052,-1.731
Functional,Hypotension,,-1.054,
Functional,Respiratory distress,,-1.067,
Upstream,GHR,,-1.067,
Upstream,TRIM21,,-1.067,
Upstream,MYC,,-1.068,-1.325
Functional,Development of malignant tumor,-0.451,-1.081,-0.706
Upstream,KRAS,,-1.086,-1.706
Functional,Peroxidation of lipid,-0.761,-1.091,-0.956
Functional,Hypertension,-0.05,-1.116,0.337
Functional,Accumulation of lipid,-1.029,-1.127,-1.312
Functional,Progressive encephalopathy,-1.131,-1.131,-1.131
Upstream,ASCC3,,-1.131,-1.131
Upstream,ID1,,-1.134,
Upstream,QKI,-0.563,-1.136,-0.508
Functional,Non-melanoma solid tumor,,-1.145,
Upstream,FOXA1,-1.775,-1.159,-2.18
Upstream,RHOA,,-1.16,
Upstream,Abcb4,,-1.165,
Functional,Disorder of blood pressure,-0.061,-1.175,0.349
Functional,Hepatic steatosis,-1.956,-1.208,-1.816
Functional,Generation of tumor,-0.163,-1.212,-0.419
Functional,Focal necrosis,-0.928,-1.219,-1.219
Functional,Nonhematologic malignant neoplasm,-0.859,-1.239,
Functional,Ingestion by mice,-1.44,-1.243,
Functional,Extracranial solid tumor,-0.907,-1.247,-0.892
Functional,Glucose metabolism disorder,0.353,-1.291,-0.497
Functional,Ingestion by rodents,-1.487,-1.314,-2.068
Functional,Malignant neoplasm of retroperitoneum,-1,-1.342,-1
Functional,Colon cancer,,-1.342,-1
Upstream,Pick1,,-1.342,
Functional,Abnormal morphology of nervous system,,-1.373,
Upstream,PRDM16,-1,-1.387,-1.387
Functional,Non-central nervous system malignant neoplasm,-0.871,-1.399,-1.127
Functional,Gastrointestinal tumor,,-1.405,-1.5
Upstream,CLDN7,-1.342,-1.414,-1.89
Upstream,GRN,,-1.414,-0.816
Upstream,MAFA,,-1.414,
Functional,Incidence of tumor,-1.052,-1.448,-1.184
Upstream,TGFB1,-2.127,-1.45,-0.534
Functional,Extraadrenal retroperitoneal tumor,-1.067,-1.452,-1.067
Upstream,CBFA2T3,,-1.455,
Functional,Amyloidosis,-1.944,-1.458,-1.944
Canonical,FXR/RXR Activation,-1.606,-1.46,-2.236
Upstream,HDAC1,,-1.463,
Functional,Renal lesion,-0.919,-1.468,-0.931
Functional,Microcytic anemia,-0.882,-1.471,-1.195
Functional,Feeding,,-1.473,
Functional,Sepsis,-1.516,-1.48,-1.369
Functional,Pulmonary vascular disease,,-1.488,-1.103
Functional,Systemic inflammatory response syndrome and/or sepsis,-1.536,-1.507,-1.397
Functional,Concentration of bile acid,-1.233,-1.563,-1.233
Functional,Carcinoma,-0.619,-1.565,-1.341
Functional,Lower respiratory tract disorder,,-1.575,-1.686
Functional,Hepatocellular carcinoma,-1.718,-1.596,-1.718
Functional,Large intestine neoplasm,-1.51,-1.599,-1.744
Functional,Colorectal tumor,-1.51,-1.599,-1.744
Upstream,APOA1,-0.943,-1.6,-1.3
Canonical,Hematoma Resolution Signaling Pathway,-1.265,-1.604,-1.387
Upstream,SIRT1,,-1.612,-2.443
Functional,Frequency of tumor,-0.947,-1.621,-1.312
Functional,Non-hematological solid tumor,,-1.63,
Upstream,MEX3A,-2.236,-1.633,-2.646
Upstream,NPR1,,-1.633,-2.236
Upstream,NKX2-3,,-1.644,-2.53
Functional,Breast or colorectal cancer,-0.818,-1.664,-1.387
Functional,Gastrointestinal tract cancer,-1.067,-1.664,-1.387
Functional,Colorectal cancer,-1.067,-1.664,-1.387
Functional,Malignant neoplasm of large intestine,-1.067,-1.664,-1.387
Functional,Focal necrosis of liver,-1.4,-1.671,-1.671
Functional,Abnormal morphology of kidney,-0.946,-1.677,-0.798
Functional,Pancreatic lesion,,-1.702,
Functional,Colon tumor,-1.195,-1.706,-1.463
Upstream,NPC1,-0.762,-1.709,-1.109
Functional,Inflammation of lung,-1.09,-1.712,-1.347
Functional,Aortic valve disease,,-1.715,
Functional,Valvulopathy,,-1.715,
Functional,Interstitial nephritis,,-1.732,-1.732
Upstream,PSEN1,,-1.772,-1.968
Functional,End stage renal disease,-1.875,-1.794,-1.794
Functional,Chronic renal failure,-1.875,-1.794,-1.794
Functional,Chronic kidney disease,-1.875,-1.794,-1.794
Functional,Chronic renal impairment,-1.875,-1.794,-1.794
Functional,Response of liver,-2.287,-1.809,-2.364
Functional,Hepatobiliary carcinoma,-1.718,-1.813,-1.948
Functional,Liver carcinoma,-1.718,-1.813,-1.948
Functional,Abnormal morphology of urinary system,,-1.838,
Upstream,APOE,-0.699,-1.862,-2.128
Functional,Weight loss,-2.165,-1.883,-1.863
Functional,Malignant hepatobiliary neoplasm,-1.778,-1.886,-2.355
Functional,Hepatobiliary system cancer,-1.778,-1.886,-2.355
Functional,Liver cancer,-1.778,-1.886,-2.355
Upstream,KAT2A,,-1.89,
Functional,Liver tumor,-1.578,-1.892,-2.225
Functional,Hepatobiliary neoplasm,-1.578,-1.892,-2.225
Functional,Pancreaticobiliary neoplasm,,-1.96,-1.715
Upstream,HNRNPK,,-1.964,
Functional,Concentration of bile salt,-2.2,-1.969,-1.969
Upstream,PELI2,,-1.992,-1.992
Functional,Hypercalciuria,-2,-2,-2
Upstream,RRAS,-2,-2,-2
Upstream,MDM4,-2,-2,-2
Canonical,Hepatic Cholestasis,-2.673,-2,-2.496
Functional,Pancreaticobiliary carcinoma,,-2,
Functional,Development of adenocarcinoma,,-2,
Upstream,FKBP10,,-2,
Upstream,ZNF217,,-2,
Canonical,Antioxidant Action of Vitamin C,,-2,
Upstream,MAPK1,-2.891,-2.007,-3.456
Upstream,SOCS3,-2.129,-2.009,-2.334
Functional,Paralysis,,-2.021,
Functional,Lithiasis,-2.054,-2.054,-2.054
Functional,Formation of solid tumor,-1.37,-2.089,-1.485
Functional,Fibrosis of kidney,,-2.109,-1.602
Functional,Inflammation of liver,-2.747,-2.131,-2.77
Upstream,PRKAA2,,-2.135,
Functional,Viral life cycle,-2.234,-2.145,-2.972
Functional,Growth of Staphylococcus aureus,-1.921,-2.156,-1.921
Upstream,KDM1A,-1.964,-2.16,-2.596
Upstream,NR0B1,-2.173,-2.173,-2.173
Upstream,PPP2CA,-2.145,-2.182,-2.145
Functional,Aminoaciduria,-2.186,-2.186,-2.186
Upstream,ELOVL5,-1.982,-2.19,-1.172
